Key,Frequency,Percentage
ConstructionInProgressExpendituresIncurredButNotYetPaid,21,4.18%
OtherPreferredStockDividendsAndAdjustments,21,4.18%
AllowanceForDoubtfulOtherReceivablesCurrent,21,4.18%
FairValueNetDerivativeAssetLiabilityMeasuredOnRecurringBasisUnobservableInputsReconciliationSettlements,21,4.18%
TradingSecuritiesFairValueDisclosure,21,4.18%
GainLossOnFairValueHedgeIneffectivenessNet,21,4.18%
DerivativeLiabilityNotSubjectToMasterNettingArrangement,21,4.18%
AllowanceForLoanAndLeaseLossesRecoveriesOfBadDebts,21,4.18%
RedemptionPremium,21,4.18%
FinancingReceivableExcludingAccruedInterestBeforeAllowanceForCreditLoss,21,4.18%
InvestmentOwnedAtFairValue,21,4.18%
FinancingReceivableExcludingAccruedInterestCreditLossExpenseReversal,21,4.18%
NotesReceivableFairValueDisclosure,21,4.18%
AssetsHeldInTrust,21,4.18%
FinancingReceivableAllowanceForCreditLossesProvisions,21,4.18%
BusinessCombinationSeparatelyRecognizedTransactionsAdditionalDisclosuresAcquisitionCostExpensed,21,4.18%
PaymentsForSoftware,21,4.18%
ValueAddedTaxReceivableCurrent,21,4.18%
OtherComprehensiveIncomeDefinedBenefitPlanNetPriorServiceCostsArisingDuringPeriodTax,21,4.18%
DefinedBenefitPlanAssetsTransferredToFromPlan,21,4.18%
NetIncomeLossFromDiscontinuedOperationsAvailableToCommonShareholdersBasic,21,4.18%
GainLossOnRepurchaseOfDebtInstrument,21,4.18%
SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsNonvestedWeightedAverageGrantDateFairValue,21,4.18%
SegmentReportingInformationIncomeLossBeforeIncomeTaxes,21,4.18%
TierOneRiskBasedCapitalRequiredToBeWellCapitalizedToRiskWeightedAssets,21,4.18%
DeferredTaxAssetsValuationAllowanceCurrent,21,4.18%
EquityMethodInvestmentSummarizedFinancialInformationIncomeLossFromContinuingOperationsBeforeExtraordinaryItems,21,4.18%
UndistributedEarningsLossAllocatedToParticipatingSecuritiesDiluted,21,4.18%
InterestExpenseDebtExcludingAmortization,21,4.18%
CapitalLeasesFutureMinimumPaymentsReceivableInFourYears,21,4.18%
CapitalLeasesFutureMinimumPaymentsReceivableInTwoYears,21,4.18%
CapitalLeasesFutureMinimumPaymentsReceivableInThreeYears,21,4.18%
CapitalLeasesFutureMinimumPaymentsReceivableDueThereafter,21,4.18%
CapitalLeasesFutureMinimumPaymentsReceivableInFiveYears,21,4.18%
RealEstateInvestments,21,4.18%
PublicUtilitiesPropertyPlantAndEquipmentNet,21,4.18%
OtherComprehensiveIncomeLossAvailableForSaleSecuritiesBeforeReclassificationAdjustmentsTax,21,4.18%
WeightedAverageNumberOfSharesRestrictedStock,21,4.18%
TimeDepositMaturitiesYearOne,21,4.18%
ImpairedFinancingReceivableInterestIncomeAccrualMethod,21,4.18%
LossContingencyAccrualCarryingValuePayments,21,4.18%
ProceedsFromDividendsReceived,21,4.18%
ContractWithCustomerAssetGross,21,4.18%
ContractWithCustomerRefundLiabilityCurrent,21,4.18%
EmployeeRelatedLiabilities,21,4.18%
ImpairedFinancingReceivableWithRelatedAllowanceRecordedInvestment,21,4.18%
DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsAssetAtFairValue,21,4.18%
ProceedsFromSaleAndMaturityOfHeldToMaturitySecurities,21,4.18%
ProceedsFromSaleOfHeldToMaturitySecurities,21,4.18%
DerivativeInstrumentsGainReclassifiedFromAccumulatedOCIIntoIncomeEffectivePortion,20,3.98%
UnrealizedGainLossOnSecurities,20,3.98%
SharebasedCompensationArrangementBySharebasedPaymentAwardAwardVestingRightsPercentage,20,3.98%
GainLossFromComponentsExcludedFromAssessmentOfCashFlowHedgeEffectivenessNet,20,3.98%
TemporaryEquitySharesOutstanding,20,3.98%
DisposalGroupIncludingDiscontinuedOperationPrepaidAndOtherAssetsCurrent,20,3.98%
DeferredIncomeTaxesAndOtherAssetsNoncurrent,20,3.98%
ProceedsFromSaleOfLongtermInvestments,20,3.98%
ProceedsFromRepurchaseOfEquity,20,3.98%
LiabilityForUnpaidClaimsAndClaimsAdjustmentExpenseIncurredClaimsCurrentYear,20,3.98%
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetIssues,20,3.98%
UnearnedPremiums,20,3.98%
AdvancesToAffiliate,20,3.98%
ContractWithCustomerRefundLiability,20,3.98%
PaymentsToAcquireLongtermInvestments,20,3.98%
EntityWideRevenueMajorCustomerPercentage,20,3.98%
BusinessAcquisitionPurchasePriceAllocationIntangibleAssetsNotAmortizable,20,3.98%
CashPaidForCapitalizedInterest,20,3.98%
InterestRateCashFlowHedgeLiabilityAtFairValue,20,3.98%
ProceedsFromSaleAndCollectionOfReceivables,20,3.98%
TradingSecuritiesEquity,20,3.98%
EmployeeBenefitsAndShareBasedCompensation,20,3.98%
BusinessCombinationRecognizedIdentifiableAssetsAcquiredGoodwillAndLiabilitiesAssumedLessNoncontrollingInterest,20,3.98%
AllowanceForDoubtfulAccountsReceivableNoncurrent,20,3.98%
DiscontinuedOperationTaxExpenseBenefitFromProvisionForGainLossOnDisposal,20,3.98%
DefinedBenefitPlanBenefitObligationPaymentForSettlement,20,3.98%
LineOfCreditFacilityIncreaseAdditionalBorrowings,20,3.98%
PublicUtilitiesAllowanceForFundsUsedDuringConstructionCapitalizedInterest,20,3.98%
SegmentReportingInformationIncomeTaxExpenseBenefit,20,3.98%
UtilitiesOperatingExpenseMaintenanceAndOperations,20,3.98%
OtherNotesPayable,20,3.98%
FairValueNetDerivativeAssetLiabilityMeasuredOnRecurringBasisUnobservableInputsReconciliationTransfersOutOfLevel3,20,3.98%
FinanceLeaseLiabilityPaymentsDueInRollingAfterYearFive,20,3.98%
BusinessCombinationConsiderationTransferredOther1,20,3.98%
SalesTypeAndDirectFinancingLeasesLeaseReceivableUndiscountedExcessAmount,20,3.98%
HeldtomaturitySecuritiesUnrecognizedHoldingGain,20,3.98%
OtherThanTemporaryImpairmentLossesInvestmentsPortionInOtherComprehensiveIncomeLossBeforeTaxIncludingPortionAttributableToNoncontrollingInterest,20,3.98%
OffBalanceSheetCreditLossLiability,20,3.98%
DerivativeAssetNotSubjectToMasterNettingArrangement,20,3.98%
OperatingLeaseLeaseIncomeLeasePayments,20,3.98%
AllowanceForLoanAndLeaseLossRecoveryOfBadDebts,20,3.98%
PaymentsForRepurchaseOfWarrants,20,3.98%
FinancingReceivableExcludingAccruedInterestAllowanceForCreditLossWriteoff,20,3.98%
LiabilitiesFairValueDisclosureRecurring,20,3.98%
DefinedBenefitPlanOtherChanges,20,3.98%
CapitalizedContractCostNetCurrent,20,3.98%
IncrementalCommonSharesAttributableToParticipatingNonvestedSharesWithNonForfeitableDividendRights,20,3.98%
OtherPostretirementBenefitsPayments,20,3.98%
ProceedsFromCollectionOfLoansReceivable,20,3.98%
AmountOfRestrictedNetAssetsForConsolidatedAndUnconsolidatedSubsidiaries,20,3.98%
IndefiniteLivedTradeNames,20,3.98%
DefinedBenefitPlanPurchasesSalesAndSettlements,20,3.98%
ValuationAllowancesAndReservesRecoveries,20,3.98%
LossOnContractTermination,20,3.98%
BusinessAcquisitionCostOfAcquiredEntityOtherNoncashConsideration,20,3.98%
PrepaidExpenseNoncurrent,20,3.98%
AcquiredIndefiniteLivedIntangibleAssetAmount,20,3.98%
TreasuryStockNumberOfSharesHeld,20,3.98%
LesseeOperatingLeaseDiscountRate,20,3.98%
SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsVestedNumberOfShares,20,3.98%
OtherGeneralExpense,20,3.98%
CapitalRequiredToBeWellCapitalizedToRiskWeightedAssets,20,3.98%
ImpairedFinancingReceivableWithNoRelatedAllowanceRecordedInvestment,20,3.98%
RecognitionOfDeferredRevenue,20,3.98%
AvailableForSaleDebtSecuritiesGrossUnrealizedLoss,20,3.98%
FeesAndCommissions,20,3.98%
DisposalGroupIncludingDiscontinuedOperationGoodwillNoncurrent,20,3.98%
GainsLossesOnSalesOfInvestmentRealEstate,20,3.98%
DeferredTaxLiabilitiesDeferredExpenseDeferredFinancingCosts,20,3.98%
OtherBorrowings,20,3.98%
IncomeTaxReconciliationDeductions,20,3.98%
CommunicationsAndInformationTechnology,20,3.98%
AllowanceForLoanAndLeaseLossesProvisionForLossNet,20,3.98%
IncomeTaxExaminationInterestAccrued,20,3.98%
CostOfPropertyRepairsAndMaintenance,20,3.98%
PrescriptionDrugSubsidyReceiptsYearOne,20,3.98%
PaymentsForProceedsFromPreviousAcquisition,20,3.98%
OtherLaborRelatedExpenses,20,3.98%
LoansAndLeasesReceivableDeferredIncome,20,3.98%
AccrualForEnvironmentalLossContingenciesGross,19,3.78%
DisposalGroupIncludingDiscontinuedOperationIntangibleAssetsNoncurrent,19,3.78%
EquitySecuritiesWithoutReadilyDeterminableFairValueImpairmentLossCumulativeAmount,19,3.78%
DeferredTaxAssetsUnrealizedLossesOnTradingSecurities,19,3.78%
DerivativeInstrumentsLossReclassifiedFromAccumulatedOCIIntoIncomeEffectivePortion,19,3.78%
DefinedContributionPlanMaximumAnnualContributionsPerEmployeeAmount,19,3.78%
AvailableForSaleSecuritiesDebtMaturitiesRollingAfterYearTenFairValue,19,3.78%
TranslationAdjustmentForNetInvestmentHedgeNetOfTax,19,3.78%
RepaymentsOfDebtMaturingInMoreThanThreeMonths,19,3.78%
LiabilityForUnpaidClaimsAndClaimsAdjustmentExpenseClaimsPaidCurrentYear,19,3.78%
LiabilityForUnpaidClaimsAndClaimsAdjustmentExpenseClaimsPaidPriorYears,19,3.78%
IncreaseDecreaseInDeferredPolicyAcquisitionCosts,19,3.78%
DueToAffiliateCurrentAndNoncurrent,19,3.78%
SignificantPurchaseCommitmentRemainingMinimumAmountCommitted,19,3.78%
OtherThanTemporaryImpairmentLossDebtSecuritiesAvailableForSaleRecognizedInEarnings,19,3.78%
IncomeTaxEffectsAllocatedDirectlyToEquityEmployeeStockOptions,19,3.78%
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIndefiniteLivedIntangibleAssets,19,3.78%
DisposalGroupIncludingDiscontinuedOperationPropertyPlantAndEquipmentCurrent,19,3.78%
EquityMethodInvestmentSummarizedFinancialInformationMinorityInterest,19,3.78%
InvestmentsAndOtherNoncurrentAssets,19,3.78%
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAssetRetirementObligations,19,3.78%
IncreaseDecreaseInCustomerDeposits,19,3.78%
TemporaryEquityStockIssuedDuringPeriodValueNewIssues,19,3.78%
DeferredTaxLiabilitiesDeferredExpenseDeferredPolicyAcquisitionCost,19,3.78%
HeldToMaturitySecuritiesUnrecognizedHoldingLoss,19,3.78%
OtherMinorityInterests,19,3.78%
AvailableForSaleSecuritiesDebtMaturitiesRollingYearSixThroughTenAmortizedCostBasis,19,3.78%
EmbeddedDerivativeFairValueOfEmbeddedDerivativeLiability,19,3.78%
SecuritiesHeldAsCollateralAtFairValue,19,3.78%
OtherReceivablesGrossCurrent,19,3.78%
HeldToMaturitySecuritiesDebtMaturitiesNetCarryingAmount,19,3.78%
AssetRetirementObligationForeignCurrencyTranslationGainLoss,19,3.78%
NewAccountingPronouncementOrChangeInAccountingPrincipleEffectOfChangeOnBasicEarningsPerShare,19,3.78%
FiniteLivedIntangibleAssetsAcquired,19,3.78%
EmployeeStockOwnershipPlanESOPNumberOfAllocatedShares,19,3.78%
IncomeTaxExaminationPenaltiesAccrued,19,3.78%
InventoryAdjustments,19,3.78%
SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsVestedWeightedAverageGrantDateFairValue,19,3.78%
SharebasedCompensationArrangementBySharebasedPaymentAwardCompensationCost1,19,3.78%
StockIssuedDuringPeriodValueConversionOfConvertibleSecuritiesNetOfAdjustments,19,3.78%
OtherComprehensiveIncomeFinalizationOfPensionAndNonPensionPostretirementPlanValuationNetOfTax,19,3.78%
DeferredCompensationArrangementWithIndividualRecordedLiability,19,3.78%
Capital,19,3.78%
CapitalToRiskWeightedAssets,19,3.78%
FinancingReceivableModificationsNumberOfContracts2,19,3.78%
FinancingReceivableRecordedInvestmentEqualToGreaterThan90DaysPastDue,19,3.78%
IncreaseDecreaseInOperatingLiabilities,19,3.78%
NoncashOrPartNoncashAcquisitionIntangibleAssetsAcquired1,19,3.78%
RealEstateOtherAcquisitions,19,3.78%
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIForWritedownOfSecuritiesNetOfTax,19,3.78%
RealEstateAndAccumulatedDepreciationAccumulatedDepreciation,19,3.78%
RealEstateImprovements,19,3.78%
IncomeTaxExaminationPenaltiesExpense,19,3.78%
DefinedBenefitPlanExpectedFutureEmployerContributionsCurrentFiscalYear,19,3.78%
IncreaseDecreaseInOtherCurrentAssetsAndLiabilitiesNet,19,3.78%
FiniteLivedIntangibleAssetsUsefulLife,19,3.78%
CapitalLeasesFutureMinimumPaymentsReceivable,19,3.78%
RealEstateAndAccumulatedDepreciationCarryingAmountOfLandAndBuildingsAndImprovements,19,3.78%
ProceedsFromSaleOfRealEstate,19,3.78%
PreferredStockRedemptionAmount,19,3.78%
RedeemableNoncontrollingInterestEquityCommonCarryingAmount,19,3.78%
InterestIncomeDepositsWithFinancialInstitutions,19,3.78%
LoansReceivableHeldForSaleAmount,19,3.78%
OperatingLeaseVariableLeaseIncome,19,3.78%
LitigationReserveNoncurrent,19,3.78%
NotionalAmountOfDerivativeInstrumentsDesignatedAsNetInvestmentHedges,19,3.78%
PrescriptionDrugSubsidyReceiptsYearTwo,19,3.78%
DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsLiabilityAtFairValue,19,3.78%
DebtInstrumentConvertibleInterestExpense,19,3.78%
LoansPayable,19,3.78%
LossContingencyNumberOfDefendants,19,3.78%
DecreaseInRestrictedCash,19,3.78%
IncreaseInRestrictedCash,19,3.78%
DerivativeInstrumentsAndHedgesLiabilities,19,3.78%
NoncashOrPartNoncashAcquisitionNetNonmonetaryAssetsAcquiredLiabilitiesAssumed1,19,3.78%
LossContingencyAccrualCarryingValueProvision,19,3.78%
ShareBasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeExercisableOptionsWeightedAverageRemainingContractualTerm,18,3.59%
PropertyPlantAndEquipmentDisposals,18,3.59%
UnrecordedUnconditionalPurchaseObligationDueInRemainderOfFiscalYear,18,3.59%
RoyaltyRevenue,18,3.59%
DebtSecuritiesAvailableForSaleAmortizedCostAllowanceForCreditLossExcludingAccruedInterest,18,3.59%
OtherThanTemporaryImpairmentCreditLossesRecognizedInEarningsReductionsCashFlows,18,3.59%
LiabilityForUnpaidClaimsAndClaimsAdjustmentExpenseIncurredClaims,18,3.59%
EquityMethodInvestmentSummarizedFinancialInformationEquity,18,3.59%
GainLossOnForeignCurrencyFairValueHedgeDerivatives,18,3.59%
AccruedBonusesCurrent,18,3.59%
IncreaseDecreaseInFairValueOfInterestRateFairValueHedgingInstruments,18,3.59%
LongTermDebtPercentageBearingFixedInterestRate,18,3.59%
AssetsHeldForSaleNotPartOfDisposalGroup,18,3.59%
DefinedBenefitPlanAmountsRecognizedInOtherComprehensiveIncomeNetPriorServiceCostCreditBeforeTax,18,3.59%
HeldToMaturitySecuritiesCurrent,18,3.59%
EquitySecuritiesFvNiAndWithoutReadilyDeterminableFairValue,18,3.59%
SupplierFinanceProgramObligationDecreaseSettlement,18,3.59%
FIFOInventoryAmount,18,3.59%
DeferredTaxLiabilitiesPrepaidPensionCosts,18,3.59%
AllowanceForNotesAndLoansReceivableNoncurrent,18,3.59%
TradingSecuritiesRealizedGainLoss,18,3.59%
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsReturnsAndAllowances,18,3.59%
DeferredTaxAssetsRegulatoryAssetsAndLiabilities,18,3.59%
QuantifyingMisstatementInCurrentYearFinancialStatementsAmount,18,3.59%
AccountsPayableAndAccruedLiabilities,18,3.59%
LineOfCreditFacilityMaximumAmountOutstandingDuringPeriod,18,3.59%
StockIssuedDuringPeriodSharesOther,18,3.59%
DeferredGainLossOnDiscontinuationOfFairValueHedge,18,3.59%
StockRedeemedOrCalledDuringPeriodShares,18,3.59%
FinanceLeaseLiabilityPaymentsDueInRollingYearFour,18,3.59%
FinanceLeaseLiabilityPaymentsDueInRollingYearThree,18,3.59%
TaxCutsAndJobsActOf2017ChangeInTaxRateDeferredTaxAssetIncomeTaxExpense,18,3.59%
FinanceLeaseLiabilityPaymentsDueInRollingYearTwo,18,3.59%
DividendsPreferredStockStock,18,3.59%
FinancingReceivable,18,3.59%
FairValueNetDerivativeAssetLiabilityMeasuredOnRecurringBasisUnobservableInputsReconciliationPurchases,18,3.59%
AllowanceForDoubtfulAccountsPremiumsAndOtherReceivables,18,3.59%
DerivativeAssetFairValueOfCollateral,18,3.59%
OtherThanTemporaryImpairmentLossDebtSecuritiesPortionRecognizedInEarnings,18,3.59%
GainLossOnInvestmentsExcludingOtherThanTemporaryImpairments,18,3.59%
NotesReceivableRelatedParties,18,3.59%
DebtSecuritiesAvailableForSaleAmortizedCostExcludingAccruedInterestBeforeAllowanceForCreditLoss,18,3.59%
ProceedsFromPaymentsForLongTermLoansForRelatedParties,18,3.59%
ProceedsFromWarrantExercises,18,3.59%
PaymentsToAcquireFinanceReceivables,18,3.59%
SeparateAccountsLiability,18,3.59%
DebtInstrumentConvertibleConversionRatio1,18,3.59%
TaxCutsAndJobsActOf2017TransitionTaxForAccumulatedForeignEarningsLiabilityNoncurrent,18,3.59%
DueToRelatedPartiesNoncurrent,18,3.59%
AccrualForEnvironmentalLossContingenciesPayments1,18,3.59%
DueFromRelatedPartiesNoncurrent,18,3.59%
StockIssuedDuringPeriodValueEmployeeStockOwnershipPlan,18,3.59%
DerivativeAssetFairValueGrossLiabilityAndObligationToReturnCashOffset,18,3.59%
PostemploymentBenefitsLiabilityCurrentAndNoncurrent,18,3.59%
OtherIndefiniteLivedIntangibleAssets,18,3.59%
ProceedsFromRepaymentsOfBankOverdrafts,18,3.59%
SharesOutstanding,18,3.59%
SecuritiesSoldUnderAgreementsToRepurchaseGross,18,3.59%
DebtInstrumentIncreaseAdditionalBorrowings,18,3.59%
TierOneRiskBasedCapital,18,3.59%
TierOneLeverageCapitalRequiredToBeWellCapitalizedToAverageAssets,18,3.59%
BusinessCombinationProvisionalInformationInitialAccountingIncompleteAdjustmentIntangibles,18,3.59%
TaxesOther,18,3.59%
AssetRetirementObligationCashPaidToSettle,18,3.59%
DevelopmentInProcess,18,3.59%
DepreciationAndAmortizationDiscontinuedOperations,18,3.59%
InvestmentBuildingAndBuildingImprovements,18,3.59%
CashFlowHedgeGainLossReclassifiedToInterestExpenseNet,18,3.59%
RatioOfIndebtednessToNetCapital1,18,3.59%
RealEstateFederalIncomeTaxBasis,18,3.59%
LineOfCreditFacilityAverageOutstandingAmount,18,3.59%
NoninterestIncomeOtherOperatingIncome,18,3.59%
FinancingReceivableModificationsSubsequentDefaultRecordedInvestment1,18,3.59%
TimeDepositMaturitiesYearTwo,18,3.59%
InterestAndDividendIncomeSecurities,18,3.59%
DebtInstrumentUnusedBorrowingCapacityAmount,18,3.59%
OtherInventory,18,3.59%
RestrictedCashAndInvestments,18,3.59%
IncomeLossAttributableToParent,18,3.59%
PrescriptionDrugSubsidyReceiptsFiveFiscalYearsThereafter,18,3.59%
TierOneRiskBasedCapitalToRiskWeightedAssets,18,3.59%
HeldToMaturitySecuritiesContinuousUnrealizedLossPositionTwelveMonthsOrLongerFairValue,18,3.59%
InterestIncomeExpenseAfterProvisionForLoanLoss,18,3.59%
HeldToMaturitySecuritiesContinuousUnrealizedLossPositionFairValue,18,3.59%
HeldToMaturitySecuritiesContinuousUnrealizedLossPositionLessThan12MonthsAccumulatedLoss,18,3.59%
HeldToMaturitySecuritiesContinuousUnrealizedLossPositionLessThanTwelveMonthsFairValue,18,3.59%
ConvertibleDebtCurrent,18,3.59%
RevenueNotFromContractWithCustomer,18,3.59%
AssetsHeldForSalePropertyPlantAndEquipment,18,3.59%
DefinedBenefitPlanTargetAllocationPercentageOfAssetsOtherRangeMaximum,18,3.59%
IncomeTaxEffectsAllocatedDirectlyToEquity,18,3.59%
IncomeTaxReconciliationTaxContingenciesForeign,18,3.59%
PaymentsForMergerRelatedCosts,18,3.59%
DeferredCompensationArrangementWithIndividualEmployerContribution,18,3.59%
DebtInstrumentConvertibleConversionRatio,18,3.59%
IndefiniteLivedIntangibleAssetsImpairmentLosses,17,3.39%
MortgageLoansOnRealEstate,17,3.39%
DisposalGroupIncludingDiscontinuedOperationAccruedLiabilitiesCurrent,17,3.39%
EntityWideDisclosureOnGeographicAreasRevenueFromExternalCustomersAttributedToIndividualForeignCountriesAmount,17,3.39%
NewAccountingPronouncementOrChangeInAccountingPrincipleEffectOfChangeOnOperatingResults,17,3.39%
MarketingExpense,17,3.39%
ForeignCurrencyDerivativeAssetsAtFairValue,17,3.39%
AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationStockOptionsRequisiteServicePeriodRecognition,17,3.39%
InventoriesPropertyHeldForSaleCurrent,17,3.39%
BusinessCombinationContingentConsiderationArrangementsChangeInAmountOfContingentConsiderationAsset1,17,3.39%
NotionalAmountOfOtherDerivativesNotDesignatedAsHedgingInstruments,17,3.39%
AvailableForSaleSecuritiesInUnrealizedLossPositionsQualitativeDisclosureNumberOfPositions,17,3.39%
ProceedsFromSaleOfTradingSecuritiesHeldforinvestment,17,3.39%
MarketableSecuritiesRealizedGainLossExcludingOtherThanTemporaryImpairments,17,3.39%
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsUnearnedPremiumsReserve,17,3.39%
DilutedEarningsPerShareProForma,17,3.39%
DebtSecuritiesAvailableForSaleAllowanceForCreditLossSecuritiesSold,17,3.39%
ProceedsFromIssuanceOfRedeemablePreferredStock,17,3.39%
ReinsurancePremiumsForInsuranceCompaniesByProductSegmentGrossAmount,17,3.39%
DebtSecuritiesAvailableForSaleContinuousUnrealizedLossPosition12MonthsOrLongerNumberOfPositions,17,3.39%
IncreaseDecreaseInRestructuringReserve,17,3.39%
InterestRateDerivativesAtFairValueNet,17,3.39%
LicensesRevenue,17,3.39%
IncomeTaxReconciliationNondeductibleExpenseAmortization,17,3.39%
DefinedBenefitPlanRecognizedNetGainLossDueToSettlements,17,3.39%
BusinessCombinationStepAcquisitionEquityInterestInAcquireeFairValue1,17,3.39%
ProvisionForOtherCreditLosses,17,3.39%
PriceRiskCashFlowHedgeUnrealizedGainLossToBeReclassifiedDuringNext12Months,17,3.39%
CashFlowHedgeDerivativeInstrumentLiabilitiesAtFairValue,17,3.39%
NotionalAmountOfForeignCurrencyDerivativePurchaseContracts,17,3.39%
SignificantAcquisitionsAndDisposalsAcquisitionCostsOrSaleProceeds,17,3.39%
CostOfGoodsAndServicesSoldDepreciationAndAmortization,17,3.39%
CashCollateralForBorrowedSecurities,17,3.39%
DecommissioningFundInvestments,17,3.39%
EffectiveIncomeTaxRateReconciliationTaxCreditsInvestment,17,3.39%
FinanceLeaseLiabilityPaymentsDueInRollingYearFive,17,3.39%
DerivativeInstrumentsAndHedgesNoncurrent,17,3.39%
FairValueNetDerivativeAssetLiabilityMeasuredOnRecurringBasisUnobservableInputsReconciliationTransfersIntoLevel3,17,3.39%
DisposalGroupIncludingDiscontinuedOperationForeignCurrencyTranslationGainsLosses,17,3.39%
LossFromCatastrophes,17,3.39%
CashFlowHedgesDerivativeInstrumentsAtFairValueNet,17,3.39%
ChangeInUnrealizedGainLossOnFairValueHedgingInstruments1,17,3.39%
IncomeTaxEffectsAllocatedDirectlyToEquityCumulativeEffectOfChangeInAccountingPrinciple,17,3.39%
AvailableForSaleSecuritiesDebtMaturitiesRollingAfterYearTenAmortizedCostBasis,17,3.39%
OtherThanTemporaryImpairmentLossDebtSecuritiesAvailableForSale,17,3.39%
FairValueOfSecuritiesReceivedAsCollateralThatHaveBeenResoldOrRepledged,17,3.39%
SeparateAccountAssets,17,3.39%
CashDividends,17,3.39%
HeldToMaturitySecuritiesDebtMaturitiesFairValue,17,3.39%
DeferredTaxLiabilitiesDeferredExpenseCapitalizedSoftware,17,3.39%
OtherInventoryNetOfReserves,17,3.39%
InterestExpenseRelatedParty,17,3.39%
DeferredRevenueRevenueRecognized,17,3.39%
PostemploymentBenefitsPeriodExpense,17,3.39%
DueFromAffiliateNoncurrent,17,3.39%
DerivativeInstrumentsLossRecognizedInOtherComprehensiveIncomeEffectivePortion,17,3.39%
DeferredCostsCurrentAndNoncurrent,17,3.39%
CustomerAdvancesCurrent,17,3.39%
EffectiveIncomeTaxRateReconciliationNondeductibleExpenseResearchAndDevelopment,17,3.39%
TierOneLeverageCapitalToAverageAssets,17,3.39%
StockIssuedDuringPeriodSharesRestrictedStockAwardForfeited,17,3.39%
DebtInstrumentPeriodicPaymentPrincipal,17,3.39%
SalesAndExciseTaxPayableCurrentAndNoncurrent,17,3.39%
AreaOfRealEstateProperty,17,3.39%
EquityMethodInvestmentSummarizedFinancialInformationLiabilitiesAndEquity,17,3.39%
PaymentsToDevelopRealEstateAssets,17,3.39%
NetInvestmentInLease,17,3.39%
DerivativeLiabilityFairValueGrossAssetAndRightToReclaimCashOffset,17,3.39%
AffordableHousingTaxCreditsAndOtherTaxBenefitsAmount,17,3.39%
TimeDepositMaturitiesYearThree,17,3.39%
TimeDepositMaturitiesYearFour,17,3.39%
TimeDepositMaturitiesYearFive,17,3.39%
DeferredRentCredit,17,3.39%
ServicingAssetAtFairValueAmount,17,3.39%
PaymentsForOriginationAndPurchasesOfLoansHeldForSale,17,3.39%
LifeInsuranceCorporateOrBankOwnedAmount,17,3.39%
PrescriptionDrugSubsidyReceiptsYearFour,17,3.39%
PrescriptionDrugSubsidyReceiptsYearFive,17,3.39%
PrescriptionDrugSubsidyReceiptsYearThree,17,3.39%
PrescriptionDrugSubsidyReceiptsNextTwelveMonths,17,3.39%
TemporaryEquityAccretionToRedemptionValueAdjustment,17,3.39%
VariableInterestEntityNonconsolidatedCarryingAmountLiabilities,17,3.39%
LossContingencyDamagesPaidValue,17,3.39%
FinancialLiabilitiesFairValueDisclosure,17,3.39%
DefinedBenefitPlanTargetAllocationPercentageOfAssetsOtherRangeMinimum,17,3.39%
SecuredLongTermDebt,17,3.39%
SharebasedCompensationArrangementBySharebasedPaymentAwardPurchasePriceOfCommonStockPercent,16,3.19%
ForeignCurrencyDerivativeInstrumentsNotDesignatedAsHedgingInstrumentsAssetAtFairValue,16,3.19%
GainLossFromComponentsExcludedFromAssessmentOfFairValueHedgeEffectivenessNet,16,3.19%
ForeignCurrencyDerivativeInstrumentsNotDesignatedAsHedgingInstrumentsLiabilityAtFairValue,16,3.19%
DeferredFederalStateAndLocalTaxExpenseBenefit,16,3.19%
FiniteLivedIntangibleAssetsPurchaseAccountingAdjustments,16,3.19%
NotionalAmountOfFairValueHedgeInstruments,16,3.19%
InsuranceCommissionsAndFees,16,3.19%
SupplementaryInsuranceInformationOtherOperatingExpense,16,3.19%
DebtSecuritiesAvailableForSaleAllowanceForCreditLossPeriodIncreaseDecrease,16,3.19%
PremiumsReceivableAllowanceForDoubtfulAccounts,16,3.19%
DebtSecuritiesAvailableForSaleAllowanceForCreditLossWriteoff,16,3.19%
ProFormaWeightedAverageSharesOutstandingDiluted,16,3.19%
IncreaseDecreaseInUnbilledReceivables,16,3.19%
AccruedRentCurrent,16,3.19%
OtherSellingGeneralAndAdministrativeExpense,16,3.19%
AvailableforsaleSecuritiesGrossUnrealizedGainLoss1,16,3.19%
DebtInstrumentDecreaseRepayments,16,3.19%
OtherComprehensiveIncomeReclassificationOfDefinedBenefitPlanNetTransitionAssetObligationRecognizedInNetPeriodicBenefitCostBeforeTax,16,3.19%
InventorySuppliesNetOfReserves,16,3.19%
